,Sun_Deg_Sin,Sun_Deg_Cos,Moon_Deg_Sin,Moon_Deg_Cos,Merc_Deg_Sin,Merc_Deg_Cos,Mars_Deg_Sin,Mars_Deg_Cos,Saturn_Deg_Sin,Saturn_Deg_Cos,Ketu_Deg_Sin,Ketu_Deg_Cos,Merc_Speed,Mars_Speed,Is_Merc_Retro,Is_Mars_Retro,Moon_Decl,Moon_Phase_Sin,Moon_Phase_Cos,Silver_SMI,Nakshatra,Tithi,Target_Sniper,Daily_Return
Sun_Deg_Sin,1.0,-3.696759506091376e-05,0.0001744933345792954,0.00032171991051079733,0.9610187767646011,-0.001816806317690203,0.3492098330562136,0.00048749943198490267,0.05182639273527034,0.0013486547075916133,-0.0003419641996362615,-0.0011944676465182908,0.04747566252003753,0.042576465303860875,0.006096156700950824,-0.07766146821745912,0.0003613040667598812,-4.190306682754795e-05,0.00039131010535102165,-0.0011606243477477593,0.0003484304644574128,-0.0009067800120047578,0.004768451168025168,-0.0025386759724085268
Sun_Deg_Cos,-3.696759506091376e-05,1.0,-0.0001805633370185852,0.0004357325685137435,-0.0017985483018002559,0.9609683465412286,-0.005430210185273262,0.34497432219672103,0.00422597460944487,0.04810524224985765,0.0002655340913729495,0.00530439929262193,0.04874216375465451,-0.037323025992297386,-0.00044994370366644386,0.05733391239744319,4.2777618306508695e-05,0.0003057090785826239,0.0007893446139489161,0.6791461494604123,0.0007060154493104089,0.00024576743973521887,0.0014813522372655527,-0.0005368541572998633
Moon_Deg_Sin,0.0001744933345792954,-0.0001805633370185852,1.0,8.19487541145841e-05,0.00020473856958854245,-0.00023134157606035987,0.0009435770385483244,0.0008958604842528433,-0.0017610848067551295,0.0017541547969440394,-0.00031457380527383363,-0.002349358396767396,0.0003383432243181202,0.0007439430434597069,-0.0002314691059415533,0.0022359951749410627,0.9007695140450442,0.0032614182891413184,0.01655414075329836,0.7073495709935006,-0.7802014117933571,-0.003519391956962176,0.005833367666645377,-0.0011898908853376418
Moon_Deg_Cos,0.00032171991051079733,0.0004357325685137435,8.19487541145841e-05,1.0,0.00026933499882443015,0.0005161101309684163,-0.0008386027993020106,0.0006465351756401485,0.00033515431806277674,-0.001311299612838135,-0.0007738950967538192,0.0011609831404121008,-0.00021400020122263745,0.0007504163408037369,2.4494355582611237e-05,0.0014647014477338904,0.3812186359864648,-0.016320345563849682,0.003136198608477532,0.0004230445376103341,-0.0008033174043737969,0.013270198450293449,0.0048386883048672,-0.0006551466908197324
Merc_Deg_Sin,0.9610187767646011,-0.0017985483018002559,0.00020473856958854245,0.00026933499882443015,1.0,-0.002877310612301134,0.3353143657480941,-0.00039374643575781947,0.0499054541072435,0.0010865188897487244,-0.000357881104010512,-0.0010075180660529322,0.050022801768091575,0.043666536036924324,0.022890776319287043,-0.08475728450660781,0.00035883350818975116,-5.969140581840356e-05,0.00027800467379457774,-0.0018887811126112265,0.00033680600284047166,-0.000725070633274909,0.004278928890272531,-0.002457810639095503
Merc_Deg_Cos,-0.001816806317690203,0.9609683465412286,-0.00023134157606035987,0.0005161101309684163,-0.002877310612301134,1.0,-0.005722489971875879,0.3310112686546568,0.003877548484522042,0.046326786039809005,0.0002479044001216899,0.004986643352364925,0.05076709255809264,-0.0351958458875275,0.01189888011418013,0.053898469318659055,3.356617144660421e-05,0.0004190432228757707,0.0008599978657796754,0.7067002473182952,0.0010284670403864285,0.0003825281583161851,0.0019376305957957388,-0.00040467471781629685
Mars_Deg_Sin,0.3492098330562136,-0.005430210185273262,0.0009435770385483244,-0.0008386027993020106,0.3353143657480941,-0.005722489971875879,1.0,0.010950797296740351,0.013804454309420577,0.0004446231979810881,-0.003968829998185112,-0.008779690256538707,0.018231003855173778,-0.18725595720676805,0.0013640287740711455,0.05482515116723465,0.0005099451016911667,-0.00044286907630891386,0.0013398503381178814,-0.0033774314313442947,-0.0012911651457102962,-0.0003576770552687775,8.699993131035242e-05,-0.00040842982982995315
Mars_Deg_Cos,0.00048749943198490267,0.34497432219672103,0.0008958604842528433,0.0006465351756401485,-0.00039374643575781947,0.3310112686546568,0.010950797296740351,1.0,-0.001961006873063178,0.03172099804883787,0.00046427361069817526,-0.01057661595645288,0.01637892613589756,0.14625467161526426,-0.0006552536733335704,-0.04581250010935587,0.0010258150881736945,2.879543134845947e-05,0.0010206216899217029,0.23461387193422115,-0.0007110866969544422,0.0005446004638203854,-0.014251636293783615,-0.0033954968434966293
Saturn_Deg_Sin,0.05182639273527034,0.00422597460944487,-0.0017610848067551295,0.00033515431806277674,0.0499054541072435,0.003877548484522042,0.013804454309420577,-0.001961006873063178,1.0,-0.023336990434852118,0.0019637060602068677,0.028367957839264744,0.0035619704425851402,-0.013840389709427156,-0.0001584973970925344,0.008919312298156597,-0.0014269600596266059,-0.00015086564353945033,-0.0002790777712852069,0.001494964538633331,0.0014339651486159133,0.0005582589024989966,-0.161039963297006,-0.022280885850607047
Saturn_Deg_Cos,0.0013486547075916133,0.04810524224985765,0.0017541547969440394,-0.001311299612838135,0.0010865188897487244,0.046326786039809005,0.0004446231979810881,0.03172099804883787,-0.023336990434852118,1.0,-0.005754583072975175,-0.03785503208684278,0.0013463940044242272,0.01561067514183718,0.0009233695025797573,-0.01262268585774437,0.001163430361278616,-3.7006126754774216e-05,0.000540521718802486,0.033988014715595836,-0.000562812891289539,-0.0011756918961840109,-0.05635032136321965,-0.004148702798252503
Ketu_Deg_Sin,-0.0003419641996362615,0.0002655340913729495,-0.00031457380527383363,-0.0007738950967538192,-0.000357881104010512,0.0002479044001216899,-0.003968829998185112,0.00046427361069817526,0.0019637060602068677,-0.005754583072975175,1.0,0.0029873289271146694,3.926480856173233e-05,-0.0026775522253812095,-0.00046397546565020865,0.00152550292329548,-0.000399576862266962,-0.00025470641661976104,-3.55557384047363e-05,-4.735655626690464e-05,0.000592555434271257,7.6104319338042685e-06,-0.03823757500376536,-0.007420427728250279
