,Sun_Deg_Sin,Sun_Deg_Cos,Moon_Deg_Sin,Moon_Deg_Cos,Saturn_Deg_Sin,Saturn_Deg_Cos,Ketu_Deg_Sin,Ketu_Deg_Cos,Mars_Speed,SMI_Base,Nakshatra,Tithi,Target_Sniper,Daily_Return
Sun_Deg_Sin,1.0,-3.696759506091376e-05,0.0001744933345792954,0.00032171991051079733,0.05182639273527034,0.0013486547075916133,-0.0003419641996362615,-0.0011944676465182908,0.042576465303860875,0.710131801724266,0.0003484304644574128,-0.0009067800120047578,0.014317900485029407,-0.005901448054026574
Sun_Deg_Cos,-3.696759506091376e-05,1.0,-0.0001805633370185852,0.0004357325685137435,0.00422597460944487,0.04810524224985765,0.0002655340913729495,0.00530439929262193,-0.037323025992297386,0.033843128125254376,0.0007060154493104089,0.00024576743973521887,-0.005613894380545327,0.0013338006613150015
Moon_Deg_Sin,0.0001744933345792954,-0.0001805633370185852,1.0,8.19487541145841e-05,-0.0017610848067551295,0.0017541547969440394,-0.00031457380527383363,-0.002349358396767396,0.0007439430434597069,0.0013585096933173273,-0.7802014117933571,-0.003519391956962176,0.0014146132480882551,0.004500002001952384
Moon_Deg_Cos,0.00032171991051079733,0.0004357325685137435,8.19487541145841e-05,1.0,0.00033515431806277674,-0.001311299612838135,-0.0007738950967538192,0.0011609831404121008,0.0007504163408037369,-0.0006951502856942289,-0.0008033174043737969,0.013270198450293449,-0.01099897887338579,0.0001955535149401412
Saturn_Deg_Sin,0.05182639273527034,0.00422597460944487,-0.0017610848067551295,0.00033515431806277674,1.0,-0.023336990434852118,0.0019637060602068677,0.028367957839264744,-0.013840389709427156,0.020323414647695465,0.0014339651486159133,0.0005582589024989966,-0.04382591240672407,0.022512150122725425
Saturn_Deg_Cos,0.0013486547075916133,0.04810524224985765,0.0017541547969440394,-0.001311299612838135,-0.023336990434852118,1.0,-0.005754583072975175,-0.03785503208684278,0.01561067514183718,0.7050258437101921,-0.000562812891289539,-0.0011756918961840109,0.20739110377183337,0.012216289783870621
Ketu_Deg_Sin,-0.0003419641996362615,0.0002655340913729495,-0.00031457380527383363,-0.0007738950967538192,0.0019637060602068677,-0.005754583072975175,1.0,0.0029873289271146694,-0.0026775522253812095,-0.004294464752430222,0.000592555434271257,7.6104319338042685e-06,-0.05286878005077843,0.01825550259471376
Ketu_Deg_Cos,-0.0011944676465182908,0.00530439929262193,-0.002349358396767396,0.0011609831404121008,0.028367957839264744,-0.03785503208684278,0.0029873289271146694,1.0,-0.0063437111947518224,-0.02749931206011745,0.000728154324030262,0.0005994366958863812,0.14161035250377546,-0.005354078964061259
Mars_Speed,0.042576465303860875,-0.037323025992297386,0.0007439430434597069,0.0007504163408037369,-0.013840389709427156,0.01561067514183718,-0.0026775522253812095,-0.0063437111947518224,1.0,0.04118533920974714,-0.00041202393200907487,-0.0015187163470955915,-0.014866302388304154,0.002572395892992014
SMI_Base,0.710131801724266,0.033843128125254376,0.0013585096933173273,-0.0006951502856942289,0.020323414647695465,0.7050258437101921,-0.004294464752430222,-0.02749931206011745,0.04118533920974714,1.0,-0.0001490299567213396,-0.0014708738683687054,0.15617161964419018,0.004415913272690362
Nakshatra,0.0003484304644574128,0.0007060154493104089,-0.7802014117933571,-0.0008033174043737969,0.0014339651486159133,-0.000562812891289539,0.000592555434271257,0.000728154324030262,-0.00041202393200907487,-0.0001490299567213396,1.0,0.0028906278895924095,0.0008445999240014196,-0.00299977351111203
Tithi,-0.0009067800120047578,0.00024576743973521887,-0.003519391956962176,0.013270198450293449,0.0005582589024989966,-0.0011756918961840109,7.6104319338042685e-06,0.0005994366958863812,-0.0015187163470955915,-0.0014708738683687054,0.0028906278895924095,1.0,0.002549313504837982,-0.001438173126762589
Target_Sniper,0.014317900485029407,-0.005613894380545327,0.0014146132480882551,-0.01099897887338579,-0.04382591240672407,0.20739110377183337,-0.05286878005077843,0.14161035250377546,-0.014866302388304154,0.15617161964419018,0.0008445999240014196,0.002549313504837982,1.0,0.06039679986948232
Daily_Return,-0.005901448054026574,0.0013338006613150015,0.004500002001952384,0.0001955535149401412,0.022512150122725425,0.012216289783870621,0.01825550259471376,-0.005354078964061259,0.002572395892992014,0.004415913272690362,-0.00299977351111203,-0.001438173126762589,0.06039679986948232,1.0
