Date,Close,Jupiter_Lon,Jupiter_Speed,Jupiter_Retro,Saturn_Lon,Saturn_Speed,Saturn_Retro,Uranus_Lon,Uranus_Speed,Uranus_Retro,Neptune_Lon,Neptune_Speed,Neptune_Retro,Pluto_Lon,Pluto_Speed,Pluto_Retro,Saturn_Neptune_Angle,Log_Return,Target_Bullish_6M,Target_Short_Alert_1M,Target_Short_Alert_3M
2007-09-01,5021.35009765625,250.9068261520342,0.07530420883266079,0,149.86426668406938,0.12628880402094472,0,347.04013668176367,-0.03940136144044354,1,320.1332459237765,-0.025486153135090134,1,266.3115366337068,-0.003224827379511477,1,170.2689792397071,,0,0,0
2007-10-01,5900.64990234375,254.30254056603687,0.14721907498376122,0,153.48817275819007,0.11254708404984898,0,345.8706013258787,-0.0360424343771452,1,319.49602168731815,-0.015692942466774818,1,266.453017890796,0.012652811525716968,0,166.00784892912807,0.16136365648392897,0,1,1
2007-11-01,5762.75,259.7058092930676,0.1972300474381803,0,156.52551957531517,0.08043982670964928,0,344.9926487845721,-0.01858049901764004,1,319.24812859007886,0.0003628673990913301,0,267.0758675049002,0.026865538436501836,0,162.7226090147637,-0.023647706455252927,0,0,1
2007-12-01,6138.60009765625,266.0675869688987,0.2232959409205206,0,158.26427743351752,0.03327014334221556,0,344.79527978262513,0.0059809867750760986,0,319.51337040799336,0.01706961964456183,0,268.02434179054285,0.03524689062461633,0,161.24909297447584,0.06318192770971616,0,1,1
2008-01-01,5137.4501953125,273.1299846804526,0.22869017342762368,0,158.41462533770076,-0.02362805087751599,1,345.38252880158166,0.031151278465299543,0,320.2711771784013,0.030823108993686094,0,269.1558805044612,0.0363383946844625,0,161.85655184070052,-0.17803983360706935,0,0,0
2008-02-01,5223.5,280.0197881567891,0.21211289665977667,0,156.91708024083044,-0.0688722092837837,1,346.65599351161063,0.0494321069817138,0,321.3532007080238,0.037637966141890924,0,270.19422911052783,0.02938896980637061,0,164.43612046719335,0.016610789863128726,0,1,1
2008-03-01,4734.5,285.68580725944213,0.17518278707221902,0,154.67115676372927,-0.07979239976305565,1,348.2225911618751,0.05699491311511238,0,322.4442855307258,0.03644134065593314,0,270.87615122960483,0.01695010460046145,0,167.7731287669965,-0.09829155085400781,0,0,1
2008-04-01,5165.89990234375,290.1829492114199,0.11069332047883267,0,152.53453027296914,-0.05221687153659479,1,349.9718716977765,0.05404474994647895,0,323.4544377277804,0.02760169294873917,0,271.14891802651084,0.0004918816250038011,0,170.91990745481124,0.08720319380442984,0,1,1
2008-05-01,4870.10009765625,292.26710188468485,0.0252204516914752,0,151.68231348027737,-0.0028910668514474857,1,351.42373712030326,0.041279091733095644,0,324.0823028247224,0.013590246179379315,0,270.932994405321,-0.01435252321489236,1,172.399989344445,-0.05896482742905683,0,1,1
2008-06-01,4040.550048828125,291.5513326372656,-0.06961766624945662,1,152.42751821366153,0.0497555818767251,0,352.3947931958989,0.020338000664737465,0,324.2453488950214,-0.003137825163343889,1,270.3181188846452,-0.0240945892658148,1,171.81783068135985,-0.18673365741136658,0,0,1
